Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,838,2238,18,989,952,65,98,621_301_182,33_23_19,15,[7_22] (2_2),15,[7_22] (2_1),5238,[4345_6850],5239,[4345_6850],93,18,[0_23] (1_3),101,55.81,57.46,706,594
1-2,867,1677,20,1092,1071,120,45,1289_577_311,38_12_13,17,[9_34] (4_1),17,[9_27] (4_1),5121,[4300_6655],5122,[4300_6655],111,20,[0_20] (1_575),119,34.88,36.14,735,635
1-3,804,2919,21,839,782,105,472,1002_77_144,57_33_48,19,[0_28] (1_2),19,[11_28] (1_2),4379,[3210_7535],4350,[3210_6970],114,21,[0_26] (7_4),117,71.26,73.21,1368,1104
2-1,769,1532,21,908,875,55,80,1412_196_215,61_18_21,19,[9_26] (1_1),19,[9_26] (1_1),3829,[2910_5755],3833,[2910_5755],120,21,[1_26] (1_1),124,40.73,42.89,761,700
2-2,835,4230,16,725,650,235,785,299_242_217,196_49_43,15,[9_29] (4_1),15,[9_27] (4_1),3337,[2150_5400],3297,[2150_5400],91,16,[0_21] (1_8),97,82.86,84.63,2529,2155
2-3,643,1322,25,756,716,115,86,1228_109_161,45_31_17,23,[16_30] (2_4),23,[16_30] (1_3),4623,[4010_6755],4620,[4050_6755],134,25,[20_25] (1_561),146,42.81,45.84,799,782
3-1,702,2469,20,639,564,190,93,907_131_242,74_42_47,19,[12_31] (1_1),19,[13_25] (4_5),3600,[2805_5060],3584,[2805_4670],125,20,[4_25] (1_7),125,74.12,77.16,1735,1411
3-2,539,2818,22,319,208,385,144,314_41_93,71_76_69,22,[9_36] (1_1),23,[18_34] (2_1),3930,[2850_6405],3884,[2850_5300],118,22,[1_27] (1_7),110,88.68,92.62,2511,2259
3-3,573,1772,30,491,409,125,11,839_95_116,35_53_68,28,[14_38] (1_2),28,[17_38] (1_1),6966,[4900_9550],6882,[4900_9315],139,30,[0_35] (2_4),153,72.29,76.92,1493,1348
4-1,404,2663,18,224,154,240,34,146_42_51,146_70_35,19,[13_34] (1_1),19,[15_34] (4_1),3631,[3010_5160],3589,[3060_5160],116,18,[0_23] (1_5),99,91.59,94.22,2607,2038
4-2,378,1401,26,365,327,155,63,431_107_183,56_35_27,24,[5_39] (1_1),24,[12_38] (1_1),4367,[3610_7865],4347,[3610_6505],168,26,[6_35] (1_1),167,73.95,76.66,1375,1160
4-3,367,706,20,426,414,85,96,710_57_81,77_10_4,18,[12_30] (3_1),18,[12_30] (3_1),4171,[3470_5280],4170,[3470_5280],119,20,[20_25] (279_1),116,39.66,41.36,767,670
5-1,176,460,15,183,157,95,7,124_11_25,39_26_26,14,[8_24] (1_1),14,[11_24] (6_1),3413,[2785_4455],3377,[2785_4420],96,15,[13_20] (1_1),93,60.22,65.87,824,787
5-2,290,1471,26,148,97,310,35,332_63_0,68_26_52,27,[17_46] (1_1),28,[22_46] (1_1),5572,[5105_7500],5521,[5105_6805],172,26,[0_36] (1_1),150,89.94,93.41,1952,1723
5-3,341,753,25,360,324,60,139,662_66_81,47_22_29,22,[4_33] (1_1),22,[14_29] (1_2),5694,[4700_9315],5678,[4700_7980],150,25,[24_30] (2_2),147,52.19,56.97,880,737
6-1,142,615,14,138,81,185,30,125_26_13,58_50_22,14,[5_24] (1_1),15,[7_24] (1_1),3109,[2535_4510],3082,[2535_4110],100,14,[11_19] (3_4),82,77.56,86.83,1258,1175
6-2,123,298,22,120,107,200,71,273_0_0,69_10_11,23,[8_47] (1_1),23,[12_32] (1_1),4605,[3600_7330],4516,[3600_6470],168,22,[19_27] (1_2),190,59.73,64.09,1131,1033
6-3,283,1968,20,117,58,225,156,262_23_46,68_41_90,21,[6_41] (1_1),21,[13_26] (1_1),6814,[6005_9335],6704,[6025_7755],182,20,[0_30] (1_5),128,94.05,97.05,2498,1945
7-1,93,183,22,108,82,75,15,140_17_23,38_26_13,21,[5_29] (1_2),21,[14_29] (1_1),3288,[2400_6255],3166,[2400_4400],128,22,[22_27] (74_1),134,40.98,55.19,646,618
7-2,97,211,20,120,93,55,17,142_14_17,51_30_16,19,[8_25] (1_3),19,[15_25] (3_2),3126,[2330_5155],3001,[2330_3980],153,20,[6_25] (1_1),133,43.13,55.92,742,689
7-3,97,255,20,92,72,100,83,138_5_0,26_2_35,19,[11_29] (1_1),20,[16_29] (4_1),4599,[3500_6105],4402,[3500_5450],142,20,[12_25] (2_3),138,63.92,71.76,719,635
8-1,87,181,15,96,60,90,7,61_19_17,52_38_6,15,[3_22] (1_2),15,[7_22] (1_2),3003,[2300_5150],2912,[2300_4150],89,15,[13_20] (1_1),78,46.96,66.85,780,764
8-2,88,319,18,96,57,180,17,167_14_0,50_44_21,19,[8_30] (2_1),19,[16_26] (1_1),4028,[3320_5850],4013,[3415_4910],147,18,[1_23] (1_2),124,69.91,82.13,1173,1117
8-3,75,101,30,87,78,55,19,81_31_0,25_2_13,28,[17_43] (1_1),28,[23_43] (1_1),4946,[3650_6995],4870,[3650_5955],183,30,[30_35] (13_1),216,13.86,22.77,375,356
9-1,77,187,17,79,40,185,34,125_16_17,30_39_31,18,[11_29] (2_1),19,[13_29] (1_1),3999,[3345_5030],3956,[3345_4890],144,17,[14_22] (1_1),116,57.75,78.61,1129,1091
9-2,74,375,15,58,10,280,11,52_0_0,31_17_56,17,[0_34] (4_1),22,[14_34] (1_1),3994,[2555_6405],3718,[2555_4840],135,16,[11_35] (1_1),84,84.53,97.33,2314,1613
9-3,70,298,25,58,28,195,28,67_67_0,50_9_56,27,[13_39] (1_1),29,[23_39] (1_1),6301,[5090_8215],6011,[5090_6925],228,25,[5_45] (1_1),159,80.54,90.60,1550,1239
