Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,729,2845,15,2639,2635,392,6,322_166_75,12_0_4,12,[9_22] (9_1),12,[9_22] (9_1),2347,[1800_2800],2347,[1800_2800],60,15,[0_23] (6_2),232,7.24,7.38,103,91
1-2,785,3326,20,2528,2517,1029,498,1046_588_244,36_9_4,17,[9_26] (8_1),17,[9_26] (8_1),3846,[3220_4380],3846,[3220_4380],97,21,[0_28] (7_1),143,23.99,24.32,357,276
1-3,763,2888,15,2841,2836,90,352,1146_645_254,6_6_0,9,[4_18] (1_7),9,[6_18] (472_7),3292,[2800_3575],3292,[2800_3575],100,13,[0_18] (6_13),156,1.63,1.80,71,71
1-4,714,2661,15,2636,2633,33,31,32_65_21,0_3_0,9,[6_18] (96_1),9,[6_18] (95_1),2563,[2200_2705],2563,[2200_2705],49,10,[0_18] (5_5),1433,0.94,1.05,21,21
1-5,645,2554,15,2542,2540,3,12,28_58_22,0_1_1,6,[3_18] (140_1),6,[3_18] (140_1),2477,[1655_2695],2477,[1655_2695],48,10,[0_18] (3_2),54,0.47,0.55,15,15
2-1,715,2498,15,2134,2120,487,1,1213_667_254,18_11_6,13,[10_22] (196_1),13,[10_18] (196_43),2624,[2250_2900],2624,[2250_2900],92,16,[1_40] (3_1),252,14.57,15.13,441,213
2-2,743,2723,10,2621,2618,563,32,0,14_0_3,8,[4_13] (1_19),8,[6_13] (137_19),1721,[1510_2080],1721,[1510_2080],93,10,[9_13] (2_15),62,3.75,3.86,99,94
2-3,714,2783,10,2391,2378,541,13,461_271_117,21_12_6,7,[3_15] (1_1),7,[5_15] (363_1),2447,[2015_3435],2445,[2055_3435],65,11,[1_18] (1_1),256,14.09,14.55,259,236
2-4,679,2780,15,1648,1619,2031,150,373_856_416,59_31_16,15,[9_27] (1_1),15,[9_27] (1_1),3249,[2450_4160],3248,[2450_4160],97,16,[4_18] (1_408),294,40.72,41.76,783,668
2-5,646,2133,15,1945,1932,717,379,505_1072_366,21_16_6,13,[0_20] (1_1),13,[8_20] (21_1),2035,[1650_2500],2034,[1650_2500],94,16,[0_18] (1_44),135,8.81,9.42,288,261
