Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,2774,3087,15,3002,3001,0,0,0,0_0_1,2,[1_15] (1_5),2,[2_15] (2307_5),3854,[1350_4155],3854,[1350_3955],25,4,[0_15] (35_20),48,2.75,2.79,8,8
2,2371,3277,15,2391,2391,0,14,2_0_0,1_0_0,4,[3_15] (1471_20),4,[3_15] (1471_20),4033,[1630_4355],4033,[1630_4355],40,13,[0_15] (73_740),63,27.04,27.04,10,5
3,2038,2426,15,2179,2179,0,2,0,1_0_0,5,[4_15] (1274_5),5,[4_15] (1274_5),4018,[1800_4455],4018,[1800_4455],38,13,[0_15] (33_203),61,10.18,10.18,23,5
4,1887,2216,15,2046,2046,0,118,3_1_1,1_0_0,5,[2_15] (145_13),5,[2_15] (145_13),3842,[1650_4410],3842,[1650_4410],35,13,[0_20] (10_1),59,7.67,7.67,35,5
5,1788,2400,15,2001,1999,0,159,20_20_0,5_1_2,9,[7_15] (99_18),9,[7_15] (99_18),2829,[1200_3450],2829,[1200_3290],47,14,[0_15] (6_361),59,16.62,16.71,117,49
6,1688,2063,18,1860,1860,0,6,18_12_2,3_0_0,9,[6_18] (182_13),9,[6_18] (182_13),4225,[1850_4810],4225,[1850_4810],55,17,[1_18] (3_174),74,9.84,9.84,15,15
7,1654,1862,17,1800,1799,0,37,14_11_5,2_0_1,5,[3_17] (201_6),5,[3_17] (201_6),4660,[2260_5085],4660,[2260_5085],42,14,[0_17] (5_51),77,3.33,3.38,36,18
8,1603,1810,15,1756,1754,0,26,6_1_0,159_1_1,5,[3_18] (520_1),5,[3_18] (520_1),3855,[1600_4955],3857,[1600_4955],51,14,[0_15] (1_49),109,2.98,3.09,985,810
9,1581,2359,10,1680,1676,30,1756,12_9_2,269_0_4,8,[3_13] (1_5),8,[5_13] (43_4),2322,[1500_3750],2322,[1500_3750],61,10,[0_10] (2_666),63,28.78,28.95,1860,1441
10,1524,1775,12,1693,1693,15,28,19_9_3,70_0_0,6,[3_16] (66_1),6,[3_16] (66_1),3748,[2310_4885],3748,[2310_4885],47,11,[0_17] (1_1),77,4.62,4.62,436,377
11,1494,1832,15,1690,1686,15,342,13_8_1,48_1_3,9,[3_17] (39_2),9,[3_17] (39_2),4309,[2790_5580],4309,[2790_5580],64,14,[0_15] (1_127),83,7.75,7.97,338,298
12,1454,2096,15,1576,1569,40,190,21_3_2,216_2_7,12,[6_29] (3_1),12,[6_29] (3_1),3991,[2905_5555],3990,[2905_5555],78,15,[0_15] (2_492),87,24.81,25.14,1659,1262
13,1384,1607,15,1513,1502,15,835,9_3_1,44_3_8,8,[0_19] (1_1),8,[4_19] (60_1),3912,[2250_5590],3910,[2250_5125],57,14,[0_15] (1_85),89,5.85,6.53,408,332
14,1372,2424,17,1970,1947,30,8,55_19_3,126_12_11,15,[9_27] (1_1),15,[10_27] (63_1),2524,[1750_3950],2522,[1750_3950],66,17,[0_17] (3_435),97,18.73,19.68,1084,866
15,1333,3632,15,1242,1210,155,69,3_5_1,232_10_25,14,[6_26] (1_2),14,[9_26] (8_2),2356,[1770_3860],2351,[1770_3615],75,15,[0_20] (2_3),75,65.80,66.69,2962,1819
16,1134,1310,15,1263,1262,0,61,4_1_1,7_0_1,8,[5_16] (86_1),8,[5_16] (86_1),3553,[1975_4455],3552,[1975_4455],53,14,[1_15] (1_43),80,3.59,3.66,53,43
17,1126,1545,15,1360,1353,25,11,37_13_4,21_3_4,9,[5_22] (149_1),9,[5_22] (148_1),3233,[1550_4105],3235,[1550_4105],56,15,[1_15] (1_177),74,11.97,12.43,268,213
18,1107,1659,10,1248,1243,60,97,15_9_0,59_2_5,8,[4_16] (1_2),8,[4_16] (1_2),2525,[1825_3365],2524,[1825_3350],53,10,[1_15] (1_2),60,24.77,25.08,568,458
19,1110,2556,13,1217,1195,110,18,85_14_6,247_9_15,12,[10_21] (49_1),12,[10_21] (46_1),2524,[2100_3765],2521,[2100_3765],76,13,[0_18] (2_1),77,52.39,53.25,2113,1645
