Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,2723,3004,15,2875,2875,0,1,1_0_0,0,3,[2_15] (1956_8),3,[2_15] (1956_8),3735,[1350_3950],3735,[1350_3950],29,15,[15_15] (129_129),69,4.29,4.29,0,0
2,2283,3311,15,2140,2140,0,8,0,0,5,[4_15] (1433_19),5,[4_15] (1433_19),3903,[1655_4150],3903,[1655_4150],40,14,[0_20] (48_1),67,35.37,35.37,24,0
3,1837,2130,15,1973,1973,0,5,0,0,5,[4_15] (1195_4),5,[4_15] (1195_4),4012,[2000_4215],4012,[2000_4215],38,13,[0_15] (16_130),61,7.37,7.37,0,0
4,1704,2042,15,1818,1816,0,53,3_2_0,4_1_1,5,[2_17] (84_1),5,[2_17] (84_1),3778,[1600_4455],3777,[1600_4410],36,14,[0_15] (3_207),62,10.97,11.07,55,35
5,1600,1973,15,1698,1698,0,137,12_7_4,1_0_0,9,[7_15] (65_22),9,[7_15] (65_22),2814,[1350_3290],2814,[1350_3290],47,15,[0_15] (2_265),90,13.94,13.94,22,5
6,1514,1773,18,1650,1650,0,2,16_8_2,0,9,[6_18] (139_16),9,[6_18] (139_16),4175,[2205_4810],4175,[2205_4810],54,17,[0_18] (3_108),84,6.94,6.94,0,0
7,1448,1604,17,1556,1556,0,28,10_9_2,0,5,[3_17] (200_1),5,[3_17] (200_1),4661,[2255_5085],4661,[2255_5085],44,15,[0_17] (3_39),86,2.99,2.99,13,0
8,1415,1579,15,1539,1539,0,15,4_2_0,160_0_0,5,[3_16] (438_3),5,[3_16] (438_3),3836,[1600_4955],3836,[1600_4955],52,14,[0_15] (2_35),92,2.53,2.53,888,800
9,1385,2226,10,1482,1478,5,1486,26_9_4,288_3_2,8,[5_13] (52_3),8,[5_13] (51_3),2313,[1400_3515],2312,[1400_3515],61,10,[0_10] (3_731),65,33.42,33.60,2128,1485
10,1293,1447,12,1406,1406,0,24,14_11_1,80_0_0,6,[3_14] (45_1),6,[3_14] (45_1),3727,[2435_4885],3727,[2435_4885],47,11,[2_12] (2_37),74,2.83,2.83,425,400
11,1267,1491,15,1396,1396,0,284,6_5_1,43_0_0,9,[3_16] (29_3),9,[3_16] (29_3),4273,[2860_5580],4273,[2860_5580],61,14,[0_15] (3_88),85,6.37,6.37,260,215
12,1213,1813,15,1282,1278,5,152,13_5_2,203_0_4,12,[6_17] (3_6),12,[6_17] (2_6),3969,[2905_5555],3968,[2905_5555],76,15,[3_20] (1_1),89,29.29,29.51,1512,1056
13,1103,1331,15,1231,1223,5,657,4_3_1,66_1_7,8,[0_17] (1_2),8,[4_17] (57_2),3888,[2320_5590],3886,[2320_4930],60,14,[0_15] (1_89),79,7.51,8.11,444,402
14,1092,1495,17,1190,1177,10,4,11_11_2,72_4_10,15,[10_19] (25_1),15,[10_19] (25_1),2476,[1800_3700],2475,[1800_3700],65,17,[2_17] (2_290),75,20.40,21.27,568,486
15,1048,2209,17,1017,1004,15,71,9_6_3,108_5_9,15,[9_21] (7_1),15,[9_21] (7_1),2603,[1910_3760],2603,[1910_3760],78,17,[1_17] (2_1156),80,53.96,54.55,1354,675
16,909,1042,15,1004,1004,0,38,4_3_1,2_0_0,8,[5_15] (67_9),8,[5_15] (67_9),3550,[2165_4220],3550,[2165_4220],53,14,[1_15] (1_35),75,3.65,3.65,35,10
17,903,1169,15,1024,1019,15,14,22_8_1,19_1_4,9,[5_19] (123_1),9,[5_19] (123_1),3282,[1650_4150],3285,[1650_4150],55,15,[0_15] (1_139),72,12.40,12.83,216,161
18,893,1424,10,1012,1003,25,59,10_7_0,48_3_7,8,[5_16] (28_1),8,[5_14] (26_1),2526,[1810_3330],2525,[1810_3330],53,10,[5_10] (1_400),59,28.93,29.56,420,362
19,863,1885,13,908,885,80,4,46_7_2,188_13_12,12,[10_22] (38_1),12,[10_22] (35_1),2530,[2105_3655],2528,[2105_3655],73,13,[0_13] (2_929),76,51.83,53.05,1638,1300
20,795,896,15,867,864,5,51,1675_38_26,10_1_2,7,[4_20] (71_1),7,[4_20] (71_1),4126,[2390_5010],4129,[2390_5010],81,14,[0_15] (1_27),114,3.24,3.57,82,82
21,783,1076,12,884,879,20,10,921_0_0,50_4_1,10,[6_17] (19_1),10,[6_17] (19_1),2975,[2050_3950],2974,[2050_3950],76,12,[3_12] (1_185),84,17.84,18.31,357,322
22,762,836,20,830,830,0,361,156_0_0,4_0_0,5,[4_15] (490_1),5,[4_15] (490_1),6078,[4015_6550],6078,[4015_6550],46,10,[1_20] (1_2),64,0.72,0.72,20,20
23,767,1335,15,799,787,70,120,1067_0_0,55_5_9,13,[7_22] (6_1),13,[7_22] (6_1),4757,[3935_5950],4754,[3935_5950],103,15,[0_20] (1_1),111,40.15,41.05,648,518
24,735,1036,10,811,810,25,3,500_0_0,22_0_1,8,[4_14] (29_1),8,[4_14] (29_1),2722,[1930_3530],2721,[1930_3530],54,10,[1_10] (1_215),62,21.72,21.81,190,163
25,749,1683,21,771,749,95,25,1541_0_0,56_14_13,19,[13_42] (14_1),19,[13_42] (14_1),3632,[2900_5180],3628,[2900_5180],128,21,[1_26] (1_7),132,54.19,55.50,1318,781
26,684,737,15,734,723,0,2,3_1_0,2_15_0,4,[1_15] (1_1),4,[3_15] (292_1),4244,[2055_5155],4246,[2055_4465],48,10,[15_15] (2_2),80,0.41,1.90,112,112
27,676,781,20,755,713,5,96,514_315_0,14_58_3,12,[6_24] (1_1),12,[7_20] (2_6),4119,[2505_5410],4123,[2505_5300],86,20,[20_20] (26_26),119,3.33,8.71,519,494
28,669,936,15,734,688,10,6,458_247_0,8_62_8,9,[6_20] (129_1),9,[6_17] (128_1),4891,[3455_5800],4927,[3700_5800],73,15,[1_20] (2_1),100,21.58,26.50,1097,542
29,659,963,10,723,666,15,15,468_250_0,4_62_3,8,[5_12] (7_1),8,[5_12] (4_1),2759,[2255_3505],2760,[2255_3505],64,10,[0_15] (1_1),79,24.92,30.84,631,499
30,706,2890,18,586,392,190,230,886_218_0,100_252_27,17,[9_36] (1_1),17,[13_36] (13_1),4774,[4000_6305],4753,[4000_5870],144,18,[0_23] (3_10),135,79.72,86.44,4920,2836
31,551,619,15,610,608,10,28,11_7_0,0_2_0,10,[7_16] (1_2),10,[8_16] (173_2),2512,[1400_3055],2510,[1400_2850],41,15,[15_15] (9_9),123,1.45,1.78,32,32
32,545,711,15,622,607,35,106,0_564_0,9_13_6,10,[5_20] (7_1),10,[5_20] (7_1),3520,[2250_4450],3533,[2250_4450],69,15,[11_20] (1_3),93,12.52,14.63,326,246
33,537,724,25,601,581,90,66,268_882_0,3_20_4,20,[8_31] (1_2),20,[12_31] (1_2),5473,[4200_7900],5483,[4200_7100],117,25,[22_30] (1_4),145,16.99,19.75,475,365
34,541,1706,16,511,406,335,34,592_153_0,89_112_12,15,[8_22] (1_1),15,[8_22] (1_1),3920,[3155_5205],3895,[3155_5205],117,16,[0_21] (1_26),117,70.05,76.20,2789,1915
35,479,513,15,513,513,0,5,24_10_0,1_0_0,6,[5_14] (288_1),6,[5_14] (288_1),4007,[2360_4205],4007,[2360_4205],44,,,,,,5,5
36,496,741,20,581,575,35,9,384_199_0,24_6_0,16,[10_28] (3_1),16,[10_28] (3_1),3827,[2685_4890],3830,[2685_4890],91,20,[1_25] (1_1),119,21.59,22.40,286,235
37,498,1320,17,627,579,130,2,280_231_0,45_53_7,15,[8_24] (1_1),15,[9_24] (3_1),4019,[3100_5335],4016,[3100_5335],117,17,[0_22] (1_6),111,52.50,56.14,1055,881
